epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,562.404,1.32164,2.91394,1.29642,0.3314,0.46708,0.36955,0.25847,1.00624,2.08015,1.14055,0.000206044,0.000206044,0.000206044
2,1116.34,0.98748,1.45079,1.13151,0.57894,0.69013,0.64812,0.50237,0.82274,1.04098,1.05478,0.000410275,0.000410275,0.000410275
3,1672.69,0.89165,1.09443,1.07973,0.7279,0.78471,0.81953,0.62837,0.83314,0.87658,1.05281,0.000610381,0.000610381,0.000610381
4,2223.27,0.81938,0.93532,1.04477,0.7943,0.82427,0.86422,0.68273,0.74842,0.74365,1.00132,0.000606437,0.000606437,0.000606437
5,2760.22,0.80953,0.88121,1.04082,0.85022,0.87283,0.89934,0.70745,0.77186,0.66154,1.00065,0.00060025,0.00060025,0.00060025
6,3296.05,0.75294,0.79497,1.00966,0.8491,0.8926,0.91795,0.74025,0.70687,0.62895,0.97744,0.000594062,0.000594062,0.000594062
7,3833.06,0.74219,0.76659,1.00475,0.89027,0.89426,0.93985,0.77393,0.6537,0.57338,0.94716,0.000587875,0.000587875,0.000587875
8,4368.98,0.72232,0.72438,0.99342,0.8696,0.89557,0.91993,0.66841,0.97381,0.647,1.11347,0.000581687,0.000581687,0.000581687
9,4901.29,0.69621,0.68554,0.98418,0.88428,0.8911,0.93162,0.76571,0.66899,0.56919,0.94737,0.0005755,0.0005755,0.0005755
10,5434.27,0.69332,0.66215,0.9827,0.901,0.89913,0.94404,0.78304,0.64244,0.53581,0.94646,0.000569313,0.000569313,0.000569313
11,5968.61,0.67969,0.64434,0.97969,0.9128,0.9178,0.95378,0.78542,0.67555,0.52702,0.9606,0.000563125,0.000563125,0.000563125
12,6502.87,0.66617,0.61766,0.9685,0.84717,0.88344,0.9182,0.72625,0.79123,0.59779,1.01032,0.000556938,0.000556938,0.000556938
13,7036.96,0.66827,0.60965,0.96948,0.9176,0.93466,0.97132,0.82687,0.58222,0.46976,0.9126,0.00055075,0.00055075,0.00055075
14,7570.56,0.63896,0.5821,0.9585,0.95071,0.9198,0.97262,0.79034,0.72922,0.48606,0.97483,0.000544563,0.000544563,0.000544563
15,8102.59,0.64733,0.5817,0.96152,0.95498,0.93027,0.97696,0.79824,0.68969,0.45635,0.96312,0.000538375,0.000538375,0.000538375
16,8635.42,0.62269,0.55725,0.95327,0.95821,0.95596,0.9828,0.81719,0.67809,0.433,0.96522,0.000532187,0.000532187,0.000532187
17,9169.36,0.64214,0.55063,0.95793,0.94453,0.94225,0.97415,0.81556,0.66119,0.43662,0.95001,0.000526,0.000526,0.000526
18,9705,0.62793,0.53901,0.95004,0.95381,0.93,0.984,0.82139,0.66006,0.42605,0.95012,0.000519812,0.000519812,0.000519812
19,10240.6,0.61446,0.52701,0.94768,0.96918,0.95049,0.98686,0.83102,0.66411,0.41217,0.94919,0.000513625,0.000513625,0.000513625
20,10774.9,0.60715,0.52301,0.9483,0.96044,0.95399,0.98689,0.84051,0.60401,0.40692,0.9267,0.000507438,0.000507438,0.000507438
21,11309.9,0.61533,0.52401,0.94937,0.93336,0.92134,0.97203,0.80673,0.67357,0.44976,0.95443,0.00050125,0.00050125,0.00050125
22,11841.9,0.61227,0.51773,0.94674,0.95892,0.95502,0.98675,0.82824,0.6307,0.39019,0.93077,0.000495063,0.000495063,0.000495063
