id,image_id,top_left_x,top_left_y,top_right_x,top_right_y,bottom_right_x,bottom_right_y,bottom_left_x,bottom_left_y
,0,488.7,1078.7,1772.23,638.59,2610.3,1560.9,1063.3,2304.1
,1,429.86,1982.92,892.9,931.7,2376.27,994.8,2392.7,2142.33
,2,1768.81,826.53,2726.41,1713.18,1084.81,2425.18,387.45,1246.59
,3,1919.82,2214.76,393.39,1617.21,1228.27,668.73,2547.55,1035.24
,4,2712.12,1075.48,2078.35,2523.0,254.29,1730.52,1199.3,589.9
,5,367.28,1771.38,610.84,612.41,2125.9,562.23,2624.93,1655.92
,6,2204.52,818.92,2511.15,2294.46,705.62,2447.65,727.7,883.31
,7,348.09,1116.69,1440.15,514.88,2627.39,1002.48,1655.04,1978.63
,8,2797.39,1622.95,1156.61,2415.91,249.51,1235.49,1696.72,766.56
,9,344.35,1729.21,1172.99,882.16,2581.78,1160.82,2052.01,2224.11
,10,2748.96,1077.69,2382.1,2699.45,289.53,2112.37,1047.41,718.32
,11,290.84,1196.91,1676.33,546.51,2751.53,1587.83,1193.25,2649.12
,12,2765.88,1973.09,728.24,2419.16,410.28,1083.45,2028.88,855.84
,13,1707.04,2406.71,308.37,1559.29,1431.71,757.63,2745.4,1332.69
,14,1319.34,580.22,2666.78,1062.5,1895.95,2198.36,361.67,1467.43
,15,740.31,863.54,2110.46,808.01,2658.76,1686.49,672.28,1870.36
,16,910.31,1022.07,2112.09,1007.55,2249.28,2094.91,709.18,2103.31
,17,716.7,2302.89,472.56,1062.08,2033.7,812.52,2723.47,1894.42
,18,1926.14,787.97,2784.47,1805.49,912.3,2412.36,410.67,1166.44
,19,2450.0,2250.75,424.58,2270.01,681.46,837.12,2244.98,821.4
,20,442.24,1014.29,1822.57,656.29,2696.37,1579.69,934.61,2280.77
,21,485.47,1828.88,1205.75,953.61,2585.07,1167.34,2223.78,2251.68
,22,1091.47,2344.09,378.04,1265.12,1764.13,805.24,2698.33,1663.2
,23,1750.16,806.8,2673.98,1725.48,1229.33,2517.28,485.22,1319.05
,24,538.88,1389.81,830.17,788.26,2118.61,772.21,2326.45,1392.58
,25,2385.27,850.44,2689.97,2117.43,340.71,2024.79,844.99,836.54
